INDEX,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN
27,12225.7053291536,13780.9187279152,17528.0898876405,18224.2990654206,20338.9830508475,16901.4084507042
28,11854.103343465,14028.7769784173,15537.8486055777,16455.6962025316,22253.9229671897,15600
29,11854.103343465,12149.5327102804,13425.1290877797,20634.9206349206,20607.6618229855,17430.1675977654
30,12380.9523809524,14233.5766423358,14661.6541353383,24375,22381.6355810617,21282.4010914052
31,13732.3943661972,14716.9811320755,16317.9916317992,17727.2727272727,21253.4059945504,16684.4919786096
32,10955.0561797753,12662.3376623377,16317.9916317992,18795.1807228916,14272.6440988106,14054.0540540541
33,14552.2388059702,16883.1168831169,19164.6191646192,21253.4059945504,22773.7226277372,17667.0441676104
34,11818.1818181818,17410.7142857143,11836.1153262519,16455.6962025316,18139.5348837209,14899.7134670487
35,14391.1439114391,10156.25,15821.5010141988,15725.8064516129,21787.7094972067,14606.7415730337
36,11676.6467065868,17256.6371681416,16956.5217391304,19259.2592592593,19500,15249.2668621701
37,11854.103343465,11504.4247787611,14689.2655367232,20580.4749340369,13953.488372093,12703.5830618893
38,12111.801242236,13402.0618556701,14716.9811320755,19354.8387096774,16595.7446808511,14404.432132964
39,15116.2790697674,17647.0588235294,19451.3715710723,20472.4409448819,19721.8710493047,13854.351687389
40,16738.1974248927,15662.6506024096,17767.6537585421,25490.1960784314,22285.7142857143,16883.1168831169
41,12621.359223301,13780.9187279152,22096.3172804533,21081.0810810811,18245.6140350877,19188.1918819188
42,10833.3333333333,13402.0618556701,15354.3307086614,17808.2191780822,16631.1300639659,20181.1125485123
43,10803.324099723,19024.3902439024,16738.1974248927,17105.2631578947,17508.4175084175,23889.7396630934
44,13732.3943661972,17567.5675675676,20800,15950.9202453988,16702.3554603854,19378.8819875776
45,10209.4240837696,12225.7053291536,18483.4123222749,28057.5539568345,12380.9523809524,17567.5675675676
46,10569.1056910569,12540.192926045,14233.5766423358,16993.4640522876,15384.6153846154,21971.8309859155
47,13448.275862069,10955.0561797753,17767.6537585421,20051.4138817481,21369.8630136986,20233.4630350195
48,10833.3333333333,18483.4123222749,23353.2934131737,22478.386167147,15600,17528.0898876405
49,17030.5676855895,17333.3333333333,16421.052631579,20103.0927835051,23042.8360413589,19378.8819875776
50,18571.4285714286,16386.5546218487,15264.1878669276,23145.4005934718,18288.3939038687,20939.5973154362
51,18483.4123222749,13636.3636363636,15757.5757575758,17848.9702517162,19283.065512979,17528.0898876405
52,11504.4247787611,16182.5726141079,22096.3172804533,17256.6371681416,23889.7396630934,18549.3460166469
53,14716.9811320755,16115.7024793388,25324.6753246753,16352.2012578616,22575.976845152,18909.0909090909
54,15057.9150579151,14942.5287356322,15445.5445544554,20051.4138817481,14220.6016408387,19548.8721804511
55,10863.5097493036,12956.8106312292,17333.3333333333,24000,16684.4919786096,19974.3918053777
56,16049.3827160494,12580.6451612903,16956.5217391304,24761.9047619048,14351.4259429623,19001.2180267966
57,15662.6506024096,17105.2631578947,17105.2631578947,24761.9047619048,20129.0322580645,17787.913340935
58,15294.1176470588,18660.2870813397,13805.3097345133,14285.7142857143,18772.5631768953,20911.528150134
59,18224.2990654206,14606.7415730337,15568.8622754491,20103.0927835051,20662.2516556291,19822.1092757306
