INDEX,EFFICEINCY,EFFICEINCY,EFFICEINCY,EFFICEINCY,EFFICEINCY,EFFICEINCY
68,997.442455243,840.3361344538,1116.3589523401,1033.386327504,1034.5513628225,1270.9793058498
69,1081.7557728313,748.6323063634,1144.7440836544,1361.9696176008,1044.2815543729,920.9244664837
70,798.7711213518,1022.2804718218,1154.7002220577,2112.3899796886,1023.4541577825,1273.4693877551
71,629.5653577626,1077.0505385253,709.9137636806,1609.6579476861,984.1805592795,1151.8653203626
72,814.5363408521,1056.9105691057,1086.0484544695,1083.3333333333,1220.6572769953,887.0692596383
73,667.8082191781,1095.8904109589,1167.7520772513,1203.9359444337,1224.6339835931,823.5014648824
74,665.0183306335,1028.3454185893,843.2432432432,821.874506085,941.1196911197,844.0873305738
75,573.0027548209,995.2153110048,896.5517241379,761.9047619048,1150.7607192255,936.9369369369
76,912.2807017544,877.1929824561,742.3622347007,1115.5606407323,1009.9048358905,779.7270955166
77,726.1555648652,880.8582721626,704.6866177301,860.2862106047,1052.454039467,1009.2025035985
78,884.9557522124,655.737704918,982.800982801,980.3921568627,1176.4705882353,907.0294784581
79,840.2908699165,750.8302449824,905.8181395889,903.7453292008,766.8673958461,845.6888840701
